Name,Orig_Label,Pred_Label
00003.png,33,12
00014.png,4,2
00016.png,21,23
00017.png,20,19
00018.png,27,31
00019.png,38,39
00024.png,1,15
00025.png,11,18
00029.png,11,35
00030.png,5,2
00032.png,34,15
00035.png,17,15
00036.png,3,2
00039.png,8,5
00045.png,25,12
00048.png,18,12
00055.png,35,15
00057.png,26,18
00066.png,26,18
00068.png,5,13
00072.png,30,11
00073.png,34,33
00074.png,5,2
00076.png,1,2
00078.png,25,12
00081.png,33,38
00091.png,1,2
00092.png,2,15
00095.png,32,41
00099.png,33,34
00100.png,1,5
00104.png,33,38
00105.png,4,2
00108.png,33,15
00110.png,1,2
00113.png,10,15
00115.png,3,1
00116.png,27,26
00117.png,29,22
00118.png,1,15
00119.png,17,12
00120.png,13,11
00122.png,1,25
00130.png,36,32
00132.png,14,41
00134.png,11,15
00139.png,38,16
00140.png,41,15
00142.png,6,41
00145.png,25,12
00146.png,2,15
00147.png,41,15
00148.png,11,18
00154.png,17,15
00157.png,9,10
00158.png,7,2
00160.png,13,18
00162.png,4,2
00163.png,25,27
00166.png,13,11
00167.png,14,15
00168.png,29,18
00169.png,17,13
00172.png,26,18
00175.png,1,18
00176.png,3,2
00179.png,2,9
00181.png,4,15
00182.png,36,15
00184.png,20,19
00187.png,1,15
00191.png,29,15
00195.png,2,1
00196.png,8,2
00197.png,38,12
00198.png,18,21
00199.png,28,12
00200.png,17,15
00201.png,9,10
00203.png,1,2
00204.png,17,13
00213.png,5,15
00216.png,10,9
00217.png,5,15
00218.png,4,2
00220.png,2,1
00222.png,5,1
00225.png,12,15
00228.png,8,7
00231.png,13,41
00232.png,33,15
00233.png,18,11
00235.png,19,20
00237.png,30,25
00240.png,12,1
00242.png,20,19
00244.png,10,8
00248.png,12,15
00249.png,38,41
00250.png,20,19
00253.png,36,38
00254.png,34,15
00255.png,28,25
00256.png,35,41
00257.png,13,28
00266.png,5,12
00270.png,18,25
00272.png,34,33
00274.png,25,13
00276.png,34,15
00277.png,39,15
00279.png,1,2
00285.png,1,41
00287.png,30,18
00288.png,17,41
00296.png,33,35
00297.png,28,18
00298.png,35,12
00304.png,4,13
00306.png,32,15
00308.png,7,9
00310.png,19,25
00311.png,11,18
00314.png,1,15
00318.png,17,12
00325.png,35,41
00329.png,2,1
00331.png,18,26
00332.png,3,9
00334.png,10,41
00337.png,34,25
00339.png,22,38
00341.png,29,28
00342.png,9,22
00349.png,28,18
00355.png,40,35
00356.png,35,15
00359.png,10,9
00360.png,9,41
00363.png,39,38
00366.png,7,1
00368.png,19,20
00377.png,13,15
00378.png,1,2
00380.png,19,31
00382.png,38,40
00385.png,25,41
00386.png,34,15
00389.png,9,25
00392.png,28,18
00393.png,2,1
00394.png,1,15
00401.png,36,32
00406.png,8,2
00407.png,25,18
00408.png,5,15
00412.png,2,1
00417.png,14,17
00420.png,3,2
00421.png,4,1
00427.png,20,31
00428.png,38,36
00429.png,34,33
00432.png,34,18
00433.png,34,35
00435.png,6,41
00436.png,10,9
00437.png,10,15
00441.png,17,18
00443.png,30,18
00448.png,38,40
00455.png,38,13
00458.png,39,32
00462.png,25,28
00463.png,17,15
00465.png,38,39
00466.png,7,4
00467.png,13,18
00475.png,12,15
00477.png,36,1
00482.png,35,15
00486.png,12,15
00490.png,17,15
00492.png,4,15
00494.png,10,9
00495.png,5,1
00496.png,30,11
00499.png,40,34
00501.png,30,15
00502.png,9,10
00505.png,4,9
00511.png,2,15
00513.png,22,26
00514.png,38,15
00515.png,33,38
00517.png,1,12
00518.png,8,2
00521.png,26,18
00523.png,14,15
00527.png,5,15
00539.png,35,15
00540.png,8,1
00546.png,1,18
00549.png,12,25
00550.png,4,15
00551.png,5,2
00557.png,8,4
00559.png,24,25
00568.png,1,41
00571.png,8,15
00573.png,6,1
00575.png,33,37
00576.png,3,15
00577.png,2,1
00580.png,17,32
00582.png,7,10
00583.png,1,41
00587.png,30,18
00588.png,5,1
00589.png,5,1
00592.png,16,1
00593.png,17,41
00594.png,11,18
00602.png,4,2
00603.png,19,20
00604.png,3,2
00608.png,28,19
00610.png,27,21
00613.png,29,15
00619.png,38,15
00621.png,14,41
00622.png,1,15
00631.png,35,15
00635.png,7,2
00637.png,29,17
00638.png,17,41
00641.png,8,2
00642.png,17,13
00645.png,13,18
00646.png,12,15
00647.png,7,5
00648.png,1,15
00649.png,2,15
00651.png,17,41
00652.png,13,15
00653.png,5,2
00654.png,12,15
00655.png,11,21
00656.png,29,22
00659.png,10,12
00660.png,5,3
00662.png,2,15
00664.png,13,15
00668.png,11,5
00669.png,4,15
00670.png,15,28
00672.png,36,37
00677.png,18,15
00678.png,29,13
00679.png,8,1
00681.png,14,25
00685.png,35,15
00688.png,17,15
00689.png,34,36
00690.png,5,1
00692.png,4,2
00694.png,29,22
00696.png,5,2
00699.png,2,15
00702.png,39,16
00704.png,7,1
00705.png,16,1
00711.png,36,15
00712.png,11,18
00713.png,39,32
00714.png,4,41
00715.png,6,34
00717.png,36,35
00718.png,1,25
00719.png,5,1
00720.png,10,16
00721.png,13,15
00722.png,5,9
00725.png,13,18
00727.png,11,23
00728.png,11,25
00733.png,38,37
00735.png,38,32
00736.png,39,18
00742.png,35,4
00745.png,17,15
00746.png,4,15
00747.png,2,18
00749.png,30,15
00751.png,28,25
00753.png,28,18
00755.png,42,41
00757.png,12,15
00758.png,3,41
00759.png,23,19
00763.png,3,25
00764.png,12,15
00766.png,1,15
00767.png,5,15
00768.png,3,2
00770.png,10,32
00774.png,3,1
00777.png,15,41
00778.png,0,4
00779.png,33,36
00780.png,2,15
00781.png,39,38
00782.png,12,15
00784.png,7,2
00785.png,10,9
00789.png,38,15
00791.png,5,2
00792.png,1,18
00794.png,1,2
00795.png,42,12
00800.png,38,15
00802.png,5,1
00803.png,5,1
00804.png,12,15
00807.png,0,2
