Name,Orig_Label,Pred_Label
00010.png,12,42
00011.png,7,8
00021.png,33,34
00030.png,5,3
00033.png,23,31
00041.png,30,20
00048.png,18,20
00050.png,25,20
00068.png,5,3
00072.png,30,11
00073.png,34,33
00076.png,1,8
00078.png,25,20
00082.png,25,20
00083.png,7,3
00089.png,13,26
00091.png,1,7
00117.png,29,18
00127.png,30,25
00131.png,3,5
00134.png,11,22
00145.png,25,20
00159.png,4,1
00163.png,25,20
00168.png,29,22
00177.png,40,36
00182.png,36,37
00197.png,38,10
00198.png,18,31
00199.png,28,24
00201.png,9,10
00211.png,38,18
00213.png,5,1
00222.png,5,17
00242.png,20,19
00247.png,8,5
00256.png,35,33
00270.png,18,25
00281.png,35,36
00287.png,30,18
00294.png,5,8
00304.png,4,1
00309.png,38,40
00310.png,19,20
00313.png,38,40
00314.png,1,8
00330.png,4,8
00333.png,25,26
00336.png,7,8
00337.png,34,33
00339.png,22,25
00349.png,28,25
00355.png,40,34
00363.png,39,38
00364.png,3,5
00367.png,38,13
00380.png,19,20
00384.png,35,38
00393.png,2,25
00395.png,5,8
00404.png,38,39
00405.png,36,37
00414.png,29,31
00420.png,3,5
00421.png,4,2
00422.png,19,20
00429.png,34,33
00430.png,11,30
00443.png,30,29
00447.png,38,13
00477.png,36,38
00481.png,2,3
00488.png,9,8
00492.png,4,2
00501.png,30,29
00502.png,9,10
00505.png,4,8
00513.png,22,25
00532.png,23,20
00534.png,12,26
00549.png,12,25
00565.png,23,20
00576.png,3,5
00579.png,0,1
00594.png,11,25
00598.png,2,4
00600.png,2,1
00637.png,29,28
00639.png,9,10
00640.png,7,8
00641.png,8,10
00643.png,11,25
00651.png,17,9
00653.png,5,2
00660.png,5,4
00670.png,15,13
00672.png,36,37
00689.png,34,33
00702.png,39,38
00717.png,36,37
00723.png,30,20
00727.png,11,23
00731.png,2,5
00734.png,15,18
00736.png,39,35
00741.png,1,2
00746.png,4,1
00749.png,30,29
00751.png,28,25
00771.png,4,2
00774.png,3,10
00780.png,2,4
00781.png,39,38
00793.png,3,5
00809.png,0,1
00816.png,11,6
00821.png,14,17
00830.png,37,36
00834.png,28,23
00863.png,2,5
00883.png,30,29
00892.png,33,35
00898.png,33,40
00901.png,24,28
00904.png,27,25
00908.png,38,4
00910.png,1,2
00924.png,19,20
00926.png,9,10
00931.png,5,8
00934.png,1,2
00938.png,42,10
00956.png,42,10
00957.png,36,33
00959.png,20,18
00989.png,39,38
00990.png,0,8
00992.png,7,8
01022.png,11,30
01046.png,2,5
01053.png,34,33
01065.png,7,8
01069.png,41,42
01073.png,39,38
01077.png,7,8
01078.png,11,12
01084.png,2,4
01086.png,18,13
01088.png,5,2
01095.png,37,36
01104.png,23,31
01105.png,5,3
01112.png,11,10
01119.png,32,41
01169.png,20,19
01177.png,18,26
01197.png,9,10
01204.png,3,6
01209.png,11,30
01210.png,18,31
01212.png,39,38
01217.png,9,10
01231.png,5,2
01234.png,3,2
01235.png,34,33
01241.png,22,31
01242.png,37,36
01252.png,8,5
01254.png,37,36
01266.png,42,6
01270.png,2,1
01282.png,14,7
01292.png,14,17
01293.png,2,1
01315.png,35,13
01317.png,25,11
01322.png,15,9
01326.png,42,32
01334.png,1,4
01363.png,11,30
01364.png,8,5
01369.png,2,5
01370.png,33,34
01371.png,25,20
01373.png,41,42
01431.png,27,25
01433.png,8,10
01441.png,25,26
01456.png,38,42
01464.png,31,26
01469.png,20,19
01471.png,2,8
01477.png,35,38
01491.png,2,4
01496.png,38,13
01508.png,38,18
01512.png,18,31
01534.png,5,4
01537.png,39,38
01546.png,2,1
01571.png,1,4
01573.png,3,4
01585.png,7,8
01598.png,2,8
01604.png,7,8
01608.png,8,10
01612.png,42,32
01628.png,21,18
01630.png,11,28
01634.png,20,26
01647.png,9,10
01661.png,28,11
01663.png,31,20
01664.png,2,3
01699.png,27,26
01709.png,30,29
01713.png,30,29
01729.png,4,10
01734.png,2,1
01743.png,2,4
01746.png,39,38
01760.png,20,19
01763.png,41,32
01772.png,39,6
01778.png,35,38
01781.png,38,6
01784.png,35,38
01790.png,40,34
