Name,Orig_Label,Pred_Label
00003.png,33,34
00008.png,25,11
00011.png,7,8
00013.png,7,8
00016.png,21,18
00017.png,20,19
00018.png,27,28
00033.png,23,18
00036.png,3,1
00039.png,8,5
00041.png,30,28
00044.png,24,18
00046.png,3,2
00047.png,10,9
00050.png,25,13
00051.png,13,11
00056.png,5,3
00058.png,9,4
00069.png,28,25
00072.png,30,13
00073.png,34,33
00078.png,25,28
00081.png,33,38
00087.png,7,8
00091.png,1,2
00098.png,9,10
00106.png,35,4
00108.png,33,37
00115.png,3,2
00117.png,29,28
00123.png,8,7
00128.png,1,2
00143.png,18,13
00145.png,25,6
00149.png,21,19
00152.png,11,26
00157.png,9,10
00159.png,4,13
00161.png,16,3
00163.png,25,28
00164.png,18,24
00167.png,14,12
00175.png,1,7
00176.png,3,5
00177.png,40,34
00181.png,4,1
00182.png,36,37
00188.png,10,9
00196.png,8,2
00198.png,18,11
00201.png,9,15
00206.png,2,1
00207.png,31,18
00211.png,38,36
00213.png,5,2
00216.png,10,17
00221.png,4,1
00229.png,36,35
00232.png,33,38
00235.png,19,20
00237.png,30,12
00245.png,40,35
00247.png,8,4
00250.png,20,19
00253.png,36,35
00259.png,15,9
00266.png,5,2
00270.png,18,31
00272.png,34,36
00286.png,33,35
00287.png,30,8
00290.png,1,4
00309.png,38,13
00313.png,38,40
00314.png,1,2
00322.png,5,3
00325.png,35,38
00337.png,34,35
00339.png,22,23
00343.png,2,4
00344.png,38,39
00345.png,38,39
00358.png,38,39
00361.png,38,36
00363.png,39,38
00367.png,38,20
00368.png,19,20
00371.png,18,26
00372.png,3,4
00375.png,1,2
00376.png,41,42
00380.png,19,21
00385.png,25,11
00393.png,2,1
00394.png,1,4
00396.png,4,26
00403.png,0,1
00404.png,38,37
00406.png,8,5
00408.png,5,4
00412.png,2,4
00413.png,26,18
00414.png,29,11
00422.png,19,28
00429.png,34,40
00435.png,6,1
00440.png,22,11
00443.png,30,29
00465.png,38,36
00471.png,35,40
00475.png,12,18
00477.png,36,35
00492.png,4,28
00501.png,30,29
00507.png,42,6
00510.png,8,24
00511.png,2,17
00513.png,22,25
00514.png,38,39
00515.png,33,39
00517.png,1,2
00518.png,8,7
00520.png,18,28
00523.png,14,13
00527.png,5,1
00532.png,23,13
00534.png,12,25
00540.png,8,9
00545.png,1,7
00550.png,4,20
00551.png,5,1
00552.png,9,17
00561.png,10,1
00563.png,18,26
00565.png,23,19
00566.png,10,13
00576.png,3,1
00577.png,2,1
00579.png,0,4
00586.png,2,1
00587.png,30,28
00592.png,16,10
00597.png,29,30
00600.png,2,9
00603.png,19,20
00606.png,7,10
00610.png,27,22
00618.png,10,9
00619.png,38,36
00626.png,28,30
00628.png,2,1
00629.png,17,14
00632.png,25,24
00636.png,16,10
00637.png,29,28
00641.png,8,4
00649.png,2,1
00651.png,17,14
00653.png,5,2
00656.png,29,28
00660.png,5,8
00672.png,36,35
00675.png,0,1
00691.png,4,19
00696.png,5,2
00699.png,2,1
00713.png,39,38
00722.png,5,7
00727.png,11,23
00736.png,39,38
00739.png,1,10
00741.png,1,4
00745.png,17,13
00749.png,30,26
00758.png,3,5
00760.png,3,2
00763.png,3,7
00767.png,5,1
00770.png,10,5
00779.png,33,34
00780.png,2,4
00781.png,39,38
00783.png,38,36
00789.png,38,12
00793.png,3,1
00794.png,1,2
00796.png,15,13
00801.png,25,28
00802.png,5,13
00803.png,5,2
00807.png,0,4
00809.png,0,2
00820.png,4,1
00829.png,27,23
00830.png,37,36
00841.png,10,42
00844.png,25,22
00845.png,4,2
00847.png,38,39
00851.png,2,1
00854.png,24,25
00859.png,11,30
00866.png,3,9
00873.png,28,31
00875.png,1,2
00877.png,5,2
00878.png,3,1
00881.png,1,7
00883.png,30,28
00886.png,33,35
00889.png,2,1
00892.png,33,34
00895.png,5,1
00901.png,24,28
00902.png,38,36
00905.png,7,8
00908.png,38,12
00914.png,18,11
00919.png,5,8
00923.png,1,2
00924.png,19,20
00930.png,38,39
00948.png,34,33
00951.png,31,18
00957.png,36,38
00958.png,7,30
00960.png,27,26
00964.png,10,5
00965.png,5,2
00975.png,8,4
00977.png,10,9
00979.png,2,4
00983.png,5,1
00988.png,7,17
01001.png,1,4
01010.png,8,2
01021.png,1,2
01022.png,11,23
01032.png,11,28
01034.png,10,3
01037.png,2,1
01050.png,4,2
01052.png,4,2
01055.png,11,25
01065.png,7,3
01067.png,32,12
01071.png,2,1
01073.png,39,38
01075.png,42,41
01079.png,21,13
01084.png,2,4
01088.png,5,2
01089.png,4,2
01091.png,33,35
01093.png,18,26
01095.png,37,36
01104.png,23,11
01105.png,5,2
01115.png,33,35
01118.png,3,1
01127.png,8,7
01131.png,8,2
01132.png,40,33
01141.png,33,38
01159.png,1,2
01169.png,20,11
01170.png,11,19
01172.png,38,39
01174.png,38,36
01176.png,1,2
01177.png,18,25
01182.png,31,28
01184.png,37,36
01186.png,22,26
01204.png,3,5
01205.png,29,28
01206.png,40,38
01209.png,11,18
01212.png,39,38
01225.png,26,25
01230.png,5,1
01234.png,3,10
01242.png,37,36
01243.png,35,38
01252.png,8,5
01266.png,42,41
01272.png,3,5
01274.png,42,41
01275.png,8,4
01277.png,14,17
01278.png,5,4
01290.png,4,2
01304.png,33,36
01307.png,19,13
01310.png,5,4
01311.png,8,4
01314.png,34,35
01316.png,5,2
01317.png,25,27
01323.png,5,1
01326.png,42,41
01327.png,26,18
01331.png,4,10
01334.png,1,5
01350.png,5,1
01353.png,8,2
01363.png,11,25
01364.png,8,4
01370.png,33,35
01373.png,41,6
01374.png,16,9
01390.png,8,15
01395.png,42,41
01402.png,30,12
01404.png,38,39
01416.png,3,12
01420.png,12,2
01426.png,10,1
01431.png,27,25
01440.png,5,8
01454.png,2,1
01456.png,38,12
01457.png,5,2
01462.png,42,41
01467.png,5,1
01468.png,7,2
01475.png,18,25
01478.png,4,2
01487.png,32,12
01489.png,12,41
01491.png,2,4
01492.png,5,4
01501.png,8,10
01503.png,9,10
01506.png,1,2
01507.png,5,38
01508.png,38,13
01516.png,3,5
01524.png,30,28
01527.png,2,4
01535.png,3,1
01537.png,39,38
01538.png,5,10
01540.png,10,17
01544.png,25,11
01545.png,38,39
01546.png,2,4
01557.png,28,11
01558.png,2,1
01560.png,42,17
01564.png,22,23
01567.png,10,17
01573.png,3,5
01576.png,38,39
01578.png,3,1
01583.png,21,17
01592.png,17,13
01601.png,6,12
01602.png,1,4
01604.png,7,5
01612.png,42,41
01618.png,12,1
01619.png,2,4
01622.png,38,39
01624.png,7,1
01627.png,38,35
01634.png,20,28
01636.png,10,9
01640.png,33,34
01643.png,19,20
01646.png,34,38
01653.png,10,9
01660.png,7,8
01661.png,28,18
01677.png,1,2
01683.png,23,11
01685.png,38,39
01694.png,5,2
01701.png,5,2
01705.png,35,38
01709.png,30,28
01711.png,1,3
01713.png,30,23
01718.png,11,15
01726.png,10,11
01734.png,2,1
01742.png,25,27
01745.png,5,8
01746.png,39,38
01753.png,18,11
01755.png,5,3
01759.png,21,18
01760.png,20,11
01761.png,37,35
01770.png,3,5
01774.png,4,2
01777.png,3,1
01779.png,35,33
01781.png,38,17
01782.png,8,3
01794.png,25,26
01797.png,31,28
01814.png,36,37
