Name,Orig_Label,Pred_Label,Pred_Blurred_5_Label,Pred_Blurred_10_Label,Pred_Blurred_15_Label,Pred_Dark_1_Label,Pred_Dark_2_Label,Pred_Dark_3_Label,Pred_Bright_1_Label,Pred_Bright_2_Label,Pred_Bright_3_Label,Pred_Bright_4_Label,Pred_Bright_5_Label,Pred_Bright_6_Label,Pred_Bright_7_Label,Pred_Occl_5_Label,Pred_Occl_10_Label,Pred_Occl_15_Label,Pred_Occl_20_Label,Pred_Occl_25_Label
00000.png,16,16,16,16,16,16,16,16,16,16,16,16,16,16,40,16,16,16,16,7
00001.png,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00002.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,35
00003.png,33,34,34,38,2,38,34,37,33,33,33,12,13,38,25,33,33,33,11,35
00004.png,11,11,11,11,30,11,11,25,11,11,11,11,11,11,11,11,18,18,11,11
00005.png,38,38,38,38,38,38,38,38,38,38,38,39,38,38,38,33,38,38,39,38
00006.png,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
00007.png,12,12,12,12,42,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00008.png,25,25,11,18,25,28,27,25,25,19,25,25,25,25,12,21,18,11,25,11
00009.png,35,36,36,36,34,37,36,38,35,35,39,36,36,38,35,39,35,37,35,18
00010.png,12,12,12,13,10,12,13,42,12,12,12,12,12,12,12,12,12,12,12,12
00011.png,7,7,7,8,8,7,7,7,7,7,7,7,4,4,7,7,7,7,7,7
00012.png,23,23,23,20,20,23,23,31,23,23,23,23,23,23,23,23,23,23,19,23
00013.png,7,7,10,10,10,7,7,10,7,7,7,7,7,7,7,7,7,7,7,7
00014.png,4,4,1,1,9,8,0,8,1,4,4,4,4,4,28,4,4,4,4,0
00015.png,9,9,10,8,10,9,9,10,9,9,2,9,9,9,9,9,15,9,9,9
00016.png,21,21,11,23,12,21,21,21,21,21,21,19,19,23,25,21,21,21,21,21
00017.png,20,19,11,20,26,20,19,19,19,11,19,20,19,19,25,20,20,24,20,18
00018.png,27,27,25,41,1,27,27,27,27,27,27,27,27,27,21,27,27,18,27,27
00019.png,38,37,36,38,38,38,37,38,39,39,39,39,37,40,37,38,38,39,38,33
00020.png,4,4,4,8,8,4,4,4,4,4,4,4,4,4,4,4,4,24,24,4
00021.png,33,33,34,34,34,33,33,34,33,33,33,34,33,33,33,35,33,33,33,33
00022.png,9,9,9,9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,15
00023.png,3,7,5,5,8,3,3,3,3,3,3,3,3,9,3,16,3,4,3,3
00024.png,1,1,1,8,8,1,1,1,1,1,1,41,13,32,16,1,1,1,1,1
00025.png,11,11,11,11,28,11,11,11,28,11,11,11,11,16,18,11,18,11,11,11
00026.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,25,13,13
00027.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
00028.png,9,9,10,9,10,9,9,9,9,9,9,9,9,9,9,9,9,10,9,15
00029.png,11,11,11,11,25,11,11,11,11,11,11,11,11,28,41,11,11,11,11,11
00030.png,5,5,5,5,7,5,5,5,5,5,5,5,5,5,5,13,5,1,8,5
00031.png,17,17,17,17,17,17,17,17,17,17,17,17,17,17,14,17,17,17,17,17
00032.png,34,34,34,34,34,34,34,33,34,33,33,33,38,25,25,35,33,33,33,33
00033.png,23,23,31,31,19,23,20,31,23,23,23,23,23,23,23,20,23,18,23,20
00034.png,2,2,2,2,2,2,2,2,2,2,2,2,2,12,12,2,2,2,2,14
00035.png,17,17,17,17,17,17,17,17,17,41,41,32,32,13,15,17,17,17,17,17
00036.png,3,1,5,5,5,3,3,3,2,3,5,3,2,3,0,3,3,3,4,3
00037.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00038.png,16,5,16,16,1,38,16,16,16,16,16,16,16,16,16,16,16,15,16,35
00039.png,8,5,5,10,10,5,5,5,5,8,5,5,5,5,5,4,3,5,5,5
00040.png,7,7,7,7,8,7,5,7,7,7,7,7,7,7,7,7,7,7,7,15
00041.png,30,30,30,31,20,30,20,30,30,30,30,30,30,30,30,30,30,18,18,18
00042.png,18,18,18,18,26,18,18,18,18,18,18,18,18,18,18,18,18,18,13,18
00043.png,12,12,12,12,20,12,12,12,12,12,12,12,13,12,12,12,12,12,12,12
00044.png,24,24,24,24,1,24,24,24,25,24,18,24,24,24,24,24,11,18,18,24
00045.png,25,25,25,25,26,25,25,25,25,25,25,25,12,25,25,25,25,11,11,13
00046.png,3,5,5,7,5,3,3,3,3,2,4,3,3,3,4,3,3,3,20,3
00047.png,10,10,10,10,10,10,10,10,10,5,10,10,9,10,10,10,10,9,10,18
00048.png,18,42,31,11,10,18,20,20,18,18,18,18,20,18,30,18,20,18,18,11
00049.png,8,8,4,8,5,8,8,8,8,8,8,8,8,8,8,7,8,7,1,8
00050.png,25,20,38,13,10,20,20,20,11,38,11,25,11,25,18,38,2,38,11,18
00051.png,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,23,12,17,28,28
00052.png,15,15,15,15,15,15,15,15,15,15,9,15,15,15,9,15,15,15,13,15
00053.png,9,9,9,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
00054.png,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
00055.png,35,35,35,40,9,35,34,35,38,38,41,41,15,13,15,35,35,35,35,35
00056.png,5,5,5,8,8,5,5,5,7,5,5,5,5,5,5,5,5,10,5,1
00057.png,26,26,26,25,25,26,26,26,26,26,26,26,26,25,11,26,26,17,26,26
00058.png,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,15,10,16
00059.png,16,16,10,10,10,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16
00060.png,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,35
00061.png,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10
00062.png,4,4,4,4,8,4,4,4,4,7,4,4,4,4,4,4,4,0,1,4
00063.png,9,9,9,10,10,9,10,9,9,9,9,9,10,9,9,9,9,10,9,11
00064.png,15,15,15,15,10,15,15,15,15,15,15,15,15,15,4,15,15,15,15,15
00065.png,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,17,9
00066.png,26,26,19,10,42,26,26,26,26,11,25,25,26,26,22,26,26,26,11,13
00067.png,2,4,5,5,10,2,5,5,2,2,2,2,2,2,2,2,2,2,3,2
00068.png,5,5,7,7,8,5,5,5,1,1,1,12,15,32,15,1,5,5,5,3
00069.png,28,28,21,12,42,28,28,28,28,28,28,22,21,28,28,28,28,28,18,28
00070.png,11,11,11,11,11,11,11,11,11,11,25,11,11,11,11,11,11,11,18,11
00071.png,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
00072.png,30,30,11,13,13,11,11,11,11,11,11,11,11,25,11,11,11,11,11,11
00073.png,34,34,34,34,37,34,34,34,34,34,34,33,36,33,33,34,34,35,34,34
00074.png,5,5,5,5,7,5,5,5,5,5,5,1,5,1,5,5,3,5,1,5
00075.png,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
00076.png,1,1,1,5,5,2,1,5,1,1,1,2,1,2,2,1,2,1,10,5
00077.png,10,10,10,16,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10
00078.png,25,25,25,21,14,25,25,25,18,25,25,25,28,25,25,25,11,18,25,25
00079.png,25,25,25,25,25,25,31,25,25,25,25,25,25,25,25,23,25,25,25,13
00080.png,21,21,21,23,20,21,21,21,21,21,21,21,21,21,21,21,21,21,11,11
00081.png,33,33,34,33,34,33,33,34,33,33,33,33,33,33,33,33,18,33,35,33
